time (seconds), x, y, target, angle
7.984494, 2.009298, -2.2516, False, 140.379
8.001325, 2.057865, -2.310264, False, 140.379
8.017628, 2.099824, -2.360946, False, 140.379
8.072586, 2.183492, -2.462007, False, 140.379
8.089152, 2.203461, -2.486128, False, 140.379
8.106042, 2.218363, -2.504128, False, 140.379
8.122286, 2.227648, -2.515342, False, 140.379
8.138852, 2.231866, -2.520437, False, 140.379
8.155681, 2.231866, -2.520437, False, 140.379
8.172199, 2.231866, -2.520437, False, 140.379
8.188918, 2.231866, -2.520437, False, 140.379
8.205467, 2.231866, -2.520437, False, 140.379
8.221789, 2.231866, -2.520437, False, 140.379
8.238255, 2.231866, -2.520437, False, 140.379
8.254818, 2.231866, -2.520437, False, 140.379
8.272055, 2.231866, -2.520437, False, 140.379
8.288155, 2.231866, -2.520437, False, 140.379
8.30452, 2.231866, -2.520437, False, 140.379
8.321084, 2.231866, -2.520437, False, 140.379
8.33765, 2.231866, -2.520437, False, 140.379
8.354218, 2.231866, -2.520437, False, 140.379
8.370789, 2.231866, -2.520437, False, 140.379
8.387506, 2.231866, -2.520437, False, 140.379
8.404078, 2.231866, -2.520437, False, 140.379
8.420637, 2.231866, -2.520437, False, 140.379
8.437201, 2.231866, -2.520437, False, 140.379
8.453769, 2.231866, -2.520437, False, 140.379
8.470336, 2.231866, -2.520437, False, 140.379
8.486948, 2.231866, -2.520437, False, 140.379
8.503469, 2.231866, -2.520437, False, 140.379
8.520037, 2.231866, -2.520437, False, 140.379
8.536603, 2.231866, -2.520437, False, 140.379
8.55317, 2.231866, -2.520437, False, 140.379
8.569736, 2.231866, -2.520437, False, 140.379
8.586304, 2.231866, -2.520437, False, 140.379
8.602872, 2.231866, -2.520437, False, 140.379
8.619655, 2.231866, -2.520437, False, 140.379
8.636003, 2.231866, -2.520437, False, 140.379
8.652571, 2.231866, -2.520437, False, 140.379
8.669379, 2.231866, -2.520437, False, 140.379
8.685703, 2.231866, -2.520437, False, 140.379
8.70253, 2.231866, -2.520437, False, 140.379
8.718836, 2.231866, -2.520437, False, 140.379
8.735695, 2.231866, -2.520437, False, 140.379
8.751968, 2.231866, -2.520437, False, 140.379
8.768558, 2.231866, -2.520437, False, 140.379
8.785102, 2.231866, -2.520437, False, 140.379
8.801809, 2.231866, -2.520437, False, 140.379
8.818235, 2.231866, -2.520437, False, 140.379
8.834805, 2.231866, -2.520437, False, 140.379
8.85137, 2.231866, -2.520437, False, 140.379
8.867938, 2.231866, -2.520437, False, 140.379
8.884711, 2.231866, -2.520437, False, 140.379
8.901067, 2.231866, -2.520437, False, 140.379
8.917643, 2.231866, -2.520437, False, 140.379
8.934202, 2.231866, -2.520437, False, 140.379
8.951024, 2.231866, -2.520437, False, 140.379
8.967422, 2.231866, -2.520437, False, 140.379
8.983904, 2.231866, -2.520437, False, 140.379
9.000789, 2.231866, -2.520437, False, 140.379
9.017064, 2.231866, -2.520437, False, 140.379
9.033943, 2.231866, -2.520437, False, 140.379
9.086319, 2.231866, -2.520437, False, 140.379
9.102994, 2.231866, -2.520437, False, 140.379
9.119548, 2.231866, -2.520437, False, 140.379
9.136068, 2.231866, -2.520437, False, 140.379
9.152662, 2.231866, -2.520437, False, 140.379
9.169156, 2.231866, -2.520437, False, 140.379
9.185722, 2.231866, -2.520437, False, 140.379
9.202289, 2.231866, -2.520437, False, 140.379
9.218856, 2.231866, -2.520437, False, 140.379
9.235568, 2.231866, -2.520437, False, 140.379
9.251988, 2.231866, -2.520437, False, 140.379
9.268555, 2.231866, -2.520437, False, 140.379
9.285123, 2.231866, -2.520437, False, 140.379
9.301692, 2.231866, -2.520437, False, 140.379
9.318256, 2.231866, -2.520437, False, 140.379
9.334825, 2.231866, -2.520437, False, 140.379
9.351451, 2.231866, -2.520437, False, 140.379
9.367957, 2.231866, -2.520437, False, 140.379
9.384538, 2.231866, -2.520437, False, 140.379
9.401661, 2.231866, -2.520437, False, 140.379
9.417656, 2.231866, -2.520437, False, 140.379
9.434221, 2.231866, -2.520437, False, 140.379
9.450788, 2.231866, -2.520437, False, 140.379
9.467945, 2.231866, -2.520437, False, 140.379
9.484551, 2.231866, -2.520437, False, 140.379
9.500494, 2.231866, -2.520437, False, 140.379
9.517054, 2.231866, -2.520437, False, 140.379
9.533622, 2.231866, -2.520437, False, 140.379
9.550187, 2.231866, -2.520437, False, 140.379
9.56718, 2.231866, -2.520437, False, 140.379
9.583686, 2.231866, -2.520437, False, 140.379
9.600188, 2.231866, -2.520437, False, 140.379
9.616454, 2.231866, -2.520437, False, 140.379
9.633021, 2.231866, -2.520437, False, 140.379
9.64959, 2.231866, -2.520437, False, 140.379
9.666154, 2.231866, -2.520437, False, 140.379
9.682721, 2.231866, -2.520437, False, 140.379
9.69947, 2.231866, -2.520437, False, 140.379
9.716037, 2.231866, -2.520437, False, 140.379
9.732422, 2.231866, -2.520437, False, 140.379
9.74899, 2.231866, -2.520437, False, 140.379
9.765554, 2.231866, -2.520437, False, 140.379
9.782125, 2.231866, -2.520437, False, 140.379
9.798869, 2.231866, -2.520437, False, 140.379
9.815365, 2.231866, -2.520437, False, 140.379
9.83183, 2.231866, -2.520437, False, 140.379
9.848389, 2.231866, -2.520437, False, 140.379
9.864955, 2.231866, -2.520437, False, 140.379
9.881929, 2.231866, -2.520437, False, 140.379
9.898456, 2.231866, -2.520437, False, 140.379
9.914656, 2.231866, -2.520437, False, 140.379
9.931456, 2.231866, -2.520437, False, 140.379
9.947789, 2.231866, -2.520437, False, 140.379
9.964465, 2.231866, -2.520437, False, 140.379
9.980923, 2.231866, -2.520437, False, 140.379
9.997741, 2.231866, -2.520437, False, 140.379
10.01406, 2.231866, -2.520437, False, 140.379
10.03062, 2.231866, -2.520437, False, 140.379
10.04817, 2.231866, -2.520437, False, 140.379
10.11545, 2.231866, -2.520437, False, 141.737
10.1386, 2.231866, -2.520437, False, 142.365
10.15536, 2.231866, -2.520437, False, 142.9043
10.17193, 2.231866, -2.520437, False, 143.5194
10.1885, 2.231866, -2.520437, False, 144.2168
10.20591, 2.231866, -2.520437, False, 144.8591
10.22619, 2.231866, -2.520437, False, 145.4833
10.24359, 2.231866, -2.520437, False, 145.9283
10.26136, 2.231866, -2.520437, False, 146.288
10.27864, 2.231866, -2.520437, False, 146.5482
10.29521, 2.231866, -2.520437, False, 146.7153
10.31281, 2.231866, -2.520437, False, 146.7999
10.33056, 2.231866, -2.520437, False, 146.7999
10.34719, 2.231866, -2.520437, False, 146.7999
10.3637, 2.231866, -2.520437, False, 146.7999
10.38035, 2.231866, -2.520437, False, 146.7999
10.39692, 2.231866, -2.520437, False, 146.7999
10.41402, 2.23667, -2.527779, False, 146.7999
10.43005, 2.245386, -2.541099, False, 146.7999
10.44655, 2.258843, -2.561663, False, 146.7999
10.46328, 2.277083, -2.589536, False, 146.7999
10.48001, 2.299911, -2.624421, False, 146.7999
10.49648, 2.32685, -2.665589, False, 146.7999
10.5128, 2.3579, -2.713038, False, 146.7999
10.52936, 2.393942, -2.768114, False, 146.7999
10.54593, 2.434491, -2.83008, False, 146.7999
10.56329, 2.48193, -2.902575, False, 146.7999
10.57906, 2.529125, -2.974696, False, 146.7999
10.59563, 2.5832, -3.05733, False, 146.7999
10.61219, 2.641784, -3.146856, False, 146.7999
10.62894, 2.705618, -3.244404, False, 146.7999
10.6455, 2.77323, -3.347725, False, 146.7999
10.6619, 2.844596, -3.456783, False, 146.7999
