time(sec),x,z
0.3760237,0,0
0.4449338,-0.002412044,-2.145767E-06
0.5149702,-0.02894243,-0.0003031492
0.5899146,-0.04582046,-0.00075984
0.6548448,-0.05546215,-0.001113296
0.7241311,-0.05546215,-0.001113296
0.7913682,-0.05546215,-0.001113296
0.8615335,-0.05546215,-0.001113296
0.9277526,-0.05546215,-0.001113296
0.9933257,-0.05546215,-0.001113296
1.062211,-0.05546215,-0.001113296
1.130001,-0.05546215,-0.001113296
1.198091,-0.05546215,-0.001113296
1.263819,-0.05546215,-0.001113296
1.331479,-0.05546215,-0.001113296
1.403552,-0.05546215,-0.001113296
1.535576,-0.05546215,-0.001113296
1.662751,-0.05546215,-0.001113296
1.740991,-0.0723283,-0.001893997
1.757839,-0.08196142,-0.002432585
1.809555,-0.1036206,-0.003890157
1.826401,-0.1060257,-0.004073143
1.878907,-0.1060257,-0.004073143
1.947127,-0.1084305,-0.004260302
2.014699,-0.1108349,-0.004451632
2.083769,-0.1492551,-0.008083344
2.153855,-0.3249665,-0.03874993
2.224066,-0.1875589,-0.01278651
2.294301,-0.03376526,-0.0004125834
2.360036,-0.03858771,-0.000538826
2.424498,-0.03858771,-0.000538826
2.493487,-0.03858771,-0.000538826
2.559791,-0.03858771,-0.000538826
2.626135,-0.03858771,-0.000538826
2.691786,-0.05064161,-0.0009281635
2.761658,-0.07955349,-0.00229156
2.828759,-0.09640346,-0.00336647
2.895142,-0.1060257,-0.004073143
2.96114,-0.1084305,-0.004260302
3.02814,-0.1300577,-0.006133318
3.09093,-0.1300577,-0.006133318
3.152094,-0.1300577,-0.006133318
3.214528,-0.1300577,-0.006133318
3.338745,-0.1300577,-0.006133318
time(sec),x,z
0,0,0
0.02,0,0
0.2938072,0,0
0.3150437,0,0
0.3366838,0,0
0.3535367,0,0
0.3703841,0,0
0.454172,0,0
0.549552,0,0
0.6332332,0,0
0.7067922,0,0
0.7800598,0,0
0.8502469,0,0
0.923261,0,0
0.990796,0,0
1.060438,0,0
1.129124,0,0
1.198434,0,0
1.267112,0,0
1.335959,0,0
1.405536,0,0
1.475539,0,0
1.550526,0,0.3999956
1.68117,0,1.09976
1.752113,0,1.399604
1.820881,0,1.799604
1.838994,0,1.799604
1.889445,0,2.099604
1.959822,0,2.399604
2.029583,0,2.799604
2.100851,-4.172258E-08,3.165589
2.168774,-4.172258E-08,3.46559
2.238875,-4.172258E-08,3.76559
2.372159,-4.172259E-08,4.46559
2.441356,-1.587011E-05,4.86555
2.512734,0.026515,4.865295
2.52959,0.05544627,4.864436
2.58394,0.4270456,4.79791
2.658078,1.175805,4.209752
2.729483,1.381056,3.534191
2.803663,1.343799,3.160928
2.875371,1.308254,3.038178
2.946485,1.2122,2.819881
3.013264,1.066369,2.60449
3.085783,0.9957859,2.525268
3.163174,0.7055547,2.295234
3.239146,0.6101454,2.243539
3.318007,0.6101454,2.243539
3.398429,0.6123087,2.244605
3.484644,0.8851888,1.82309
3.647344,1.290423,1.133141
3.73245,1.525975,0.8077879
3.817543,1.761,0.5057728
3.837383,1.811812,0.4516211
3.906923,2.102134,0.2077346
3.994195,2.464525,-0.008134365
4.087124,2.874151,-0.3039467
4.163003,3.172299,-0.5706034
4.244573,3.468064,-0.8397119
4.332663,3.864045,-0.985267
4.415349,4.332079,-0.9675311
4.501423,4.8063,-1.114951
4.585618,5.195091,-1.216607
4.668736,5.572612,-1.348812
4.745196,5.950132,-1.481018
4.823075,6.327652,-1.613224
4.90221,6.705173,-1.74543
4.980853,7.082694,-1.877635
5.137643,7.393821,-2.651365
5.218644,7.005067,-3.292708
5.300725,6.428041,-3.293211
5.322504,6.235909,-3.237574
5.382275,5.860734,-3.027466
5.468195,5.688348,-2.86615
5.554214,5.569644,-2.714216
5.635623,5.455815,-2.510125
5.715025,5.429537,-2.447917
5.791359,5.426032,-2.438928
5.868145,5.4743,-2.549408
5.942111,5.4743,-2.549408
6.019568,5.204892,-2.68139
6.158622,4.576272,-2.989347
6.234241,4.222414,-3.17613
6.310559,3.887102,-3.397983
6.332704,3.806297,-3.458522
6.385135,3.552747,-3.619568
6.460808,3.213269,-3.831471
6.54042,2.849495,-4.000951
6.617993,2.489321,-3.925777
6.692207,2.053777,-3.82628
6.761989,1.655566,-3.868117
6.843417,1.248573,-3.819638
6.923602,0.8512619,-3.638915
7.01003,0.4578469,-3.555099
7.091428,0.08003354,-3.390699
7.170763,-0.3109788,-3.306623
7.245886,-0.7023242,-3.224263
7.323597,-1.093732,-3.141818
7.404007,-1.486039,-3.064231
7.478092,-1.781737,-3.012927
7.552174,-2.174916,-2.93929
7.627617,-2.567426,-2.862295
7.70452,-2.959944,-2.785383
7.781018,-3.354731,-2.72022
7.86032,-3.75409,-2.682353
7.939324,-4.063253,-2.742653
8.015718,-4.464172,-2.744448
8.089459,-4.863545,-2.722126
time(sec),x,z
0,0,0
time(sec),x,z
0,0,0
0.02,0,0
0.3533334,0,0
0.3737869,0,0
0.3991727,0,0
0.4160247,0,0
0.4328746,0,0
0.4772211,0,0
0.572023,0,0
0.6546627,0,0
0.7277016,0,0
0.7985696,0,0
0.871457,0.002412044,-2.145767E-06
0.9406103,0.04823111,-0.000841856
1.013382,0.05546214,-0.001113296
1.080584,0.05546214,-0.001113296
1.15493,0.1300577,-0.006133318
1.22565,0.161239,-0.009438157
1.294019,0.1468569,-0.007825017
1.366519,0.1468569,-0.007825017
1.442536,0.1893628,0.3899076
1.577155,0.2532766,0.9863586
1.646282,0.2957982,1.383942
1.715486,0.3276901,1.682121
1.735529,0.3287195,1.782547
1.788493,0.3561498,2.081283
1.859933,0.3854256,2.37985
1.935913,0.4268591,2.777704
2.018178,0.4713129,3.135647
2.078665,0.5011088,3.434164
2.149825,0.5336345,3.832886
2.288211,0.5995103,4.529779
2.356816,0.6325192,4.827925
2.431758,0.6517097,4.825908
2.449379,0.6684769,4.823923
2.502818,0.9771248,4.748683
2.574877,1.869063,3.623337
2.667079,1.270464,2.30679
2.725097,0.9748619,2.155523
2.813498,0.6756552,2.082031
2.880767,0.5844362,2.073247
2.9353,0.3868248,2.074972
3.011847,0.1609838,2.112157
3.087927,0.112094,2.125394
3.157691,0.09590924,2.130204
3.231202,0.09360203,2.130907
3.307983,0.1306612,2.12014
3.383895,0.6108987,2.075167
3.461076,0.9361748,2.141937
3.538066,1.03765,2.180382
3.614981,1.250351,2.293477
3.695911,1.321643,2.343026
3.780007,1.308026,2.333042
3.866746,1.473174,2.473595
3.95496,1.679773,2.736607
4.042003,1.701677,2.774091
4.127298,1.701677,2.774091
4.216162,2.041668,2.563261
4.380273,2.820304,2.111902
4.462584,3.166334,1.911347
4.544009,3.512328,1.711071
4.561308,3.598844,1.660919
4.627122,3.858383,1.51063
4.719473,4.179544,1.26879
4.800418,4.589979,0.982971
4.883523,4.923747,0.7625108
4.970304,5.236824,0.5115647
5.058291,5.482901,0.1763051
5.1447,5.72692,-0.2871261
5.228385,5.9041,-0.6580769
5.315868,6.116426,-0.9982655
5.405571,6.348036,-1.444839
5.486169,6.375899,-1.882075
5.580061,6.100855,-2.454107
5.670389,5.71679,-2.816306
5.761141,5.42801,-3.248639
5.891961,5.09063,-3.75457
